Spot,K,r,vol1,vol2,T,rho,BEG500,BEG50,MLPsII
30,40,0.06,0.2,0.3,1,0.5,11.66,11.65,11.357
31,40,0.06,0.2,0.3,1,0.5,10.807,10.797,10.514
32,40,0.06,0.2,0.3,1,0.5,9.976,9.967,9.694
33,40,0.06,0.2,0.3,1,0.5,9.173,9.168,8.939
34,40,0.06,0.2,0.3,1,0.5,8.402,8.39,8.156
35,40,0.06,0.2,0.3,1,0.5,7.666,7.668,7.421
36,40,0.06,0.2,0.3,1,0.5,6.969,6.967,6.704
37,40,0.06,0.2,0.3,1,0.5,6.315,6.31,6.057
38,40,0.06,0.2,0.3,1,0.5,5.702,5.702,5.477
39,40,0.06,0.2,0.3,1,0.5,5.134,5.142,4.908
40,40,0.06,0.2,0.3,1,0.5,4.608,4.594,4.426
41,40,0.06,0.2,0.3,1,0.5,4.127,4.137,3.943
42,40,0.06,0.2,0.3,1,0.5,3.688,3.699,3.499
43,40,0.06,0.2,0.3,1,0.5,3.288,3.291,3.152
44,40,0.06,0.2,0.3,1,0.5,2.926,2.925,2.861
45,40,0.06,0.2,0.3,1,0.5,2.6,2.604,2.572
46,40,0.06,0.2,0.3,1,0.5,2.305,2.319,2.259
47,40,0.06,0.2,0.3,1,0.5,2.04,2.04,1.962
48,40,0.06,0.2,0.3,1,0.5,1.807,1.803,1.694
49,40,0.06,0.2,0.3,1,0.5,1.599,1.609,1.53
50,40,0.06,0.2,0.3,1,0.5,1.412,1.42,1.363
