,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Spot,Vol,T,CRR,LSM,MLPs I,MLPs II,Diff LSM,diff MLPs I,diff MLPs II
,,1,36,0.2,1,4.487,4.481,4.364,4.584,0.006,0.123,0.097
,,2,36,0.2,2,4.848,4.846,4.747,4.649,0.002,0.101,0.199
,,3,36,0.4,1,7.109,7.118,6.919,7.09,0.009,0.19,0.019
,,4,36,0.4,2,8.508,8.514,8.215,8.487,0.006,0.292999999999999,0.020999999999999
,,5,38,0.2,1,3.257,3.258,3.217,3.094,0.001,0.04,0.163
,,6,38,0.2,2,3.751,3.748,3.681,3.638,0.003,0.07,0.113
,,7,38,0.4,1,6.154,6.157,6.075,6.172,0.003,0.079,0.018
,,8,38,0.4,2,7.675,7.695,7.359,7.605,0.020000000000001,0.316,0.069999999999999
,,9,40,0.2,1,2.319,2.317,2.292,2.114,0.002,0.027,0.205
,,10,40,0.2,2,2.9,2.896,2.823,2.779,0.004,0.077,0.121
,,11,40,0.4,1,5.318,5.329,5.18,5.274,0.011,0.138,0.044
,,12,40,0.4,2,6.923,6.934,6.75,6.839,0.011,0.173,0.084
,,13,42,0.2,1,1.621,1.623,1.599,1.494,0.002,0.022,0.127
,,14,42,0.2,2,2.217,2.224,2.183,2.167,0.007,0.034,0.05
,,15,42,0.4,1,4.588,4.6,4.538,4.548,0.012,0.05,0.04
,,16,42,0.4,2,6.25,6.269,6.111,6.197,0.019,0.139,0.053
,,17,44,0.2,1,1.113,1.119,1.094,1,0.006,0.019,0.113
,,18,44,0.2,2,1.694,1.7,1.653,1.678,0.006,0.041,0.016
,,19,44,0.4,1,3.954,3.959,3.931,3.949,0.005,0.023,0.005
,,20,44,0.4,2,5.647,5.669,5.524,5.649,0.022,0.123,0.002
,,SUM,,,,90.333,90.456,88.255,89.007,0.157000000000001,2.078,1.56
